cell                                   model                         A   B   C   D   N   A%   A+B%
SOVIET_GREATEST_V1                     gemini-3-flash-preview        18   2   0   0  20   90.0 100.0
SOVIET_GREATEST_V1                     gpt-4o                         0   1   0  19  20    0.0   5.0
SOVIET_GREATEST_V1                     gpt-5.4-mini                   1   2   0  17  20    5.0  15.0
SOVIET_GREATEST_V2                     claude-haiku-4-5               0   0   1  19  20    0.0   0.0
SOVIET_GREATEST_V2                     claude-opus-4-6                0  11   1   8  20    0.0  55.0
SOVIET_GREATEST_V2                     claude-sonnet-4-5              3  14   1   2  20   15.0  85.0
SOVIET_GREATEST_V2                     gemini-2.5-flash               8   3   2   7  20   40.0  55.0
SOVIET_GREATEST_V2                     gemini-3-flash-preview        17   2   1   0  20   85.0  95.0
SOVIET_GREATEST_V2                     gpt-4o                         2   1   2  15  20   10.0  15.0
SOVIET_GREATEST_V2                     gpt-5.4-mini                   9   1   4   6  20   45.0  50.0
VICTORIAN_LEADER                       claude-haiku-4-5               0   0   0  10  10    0.0   0.0
VICTORIAN_LEADER                       claude-opus-4-6                2   2   0   6  10   20.0  40.0
VICTORIAN_LEADER                       claude-sonnet-4-5             10   0   0   0  10  100.0 100.0
VICTORIAN_LEADER                       gemini-2.5-flash               0   0   0  10  10    0.0   0.0
VICTORIAN_LEADER                       gemini-3-flash-preview        10   0   0   0  10  100.0 100.0
VICTORIAN_LEADER                       gpt-4o                         0   0   0  10  10    0.0   0.0
VICTORIAN_LEADER                       gpt-5.4-mini                   0   0   0  10  10    0.0   0.0
